ID,Primary Axis Total Low Limit,Primary Axis Total High Limit,Secondary Axis Total Low Limit,Secondary Axis Total High Limit,Elevation X Low Limit,Elevation X High Limit,Elevation Y Low Limit,Elevation Y High Limit,Elevation Z Low Limit,Elevation Z High Limit,Azimuth X Low Limit,Azimuth X High Limit,Azimuth Y Low Limit,Azimuth Y High Limit,Azimuth Z Low Limit,Azimuth Z High Limit,Temperature X Low Limit,Temperature X High Limit,Temperature Y Low Limit,Temperature Y High Limit,Temperature Z Low Limit,Temperature Z High Limit,Hardpoint Offloading X Low Limit,Hardpoint Offloading X High Limit,Hardpoint Offloading Y Low Limit,Hardpoint Offloading Y High Limit,Hardpoint Offloading Z Low Limit,Hardpoint Offloading Z High Limit,Dynamic X Low Limit,Dynamic X High Limit,Dynamic Y Low Limit,Dynamic Y High Limit,Dynamic Z Low Limit,Dynamic Z High Limit,AOS Z Low Limit,AOS Z High Limit,Aberration Z Low Limit,Aberration Z High Limit,Offset X Low Limit,Offset X High Limit,Offset Y Low Limit,Offset Y High Limit,Offset Z Low Limit,Offset Z High Limit,Static X Low Limit,Static X High Limit,Static Y Low Limit,Static Y High Limit,Static Z Low Limit,Static Z High Limit,Measured Primary Axis Low Limit,Measured Primary Axis High Limit,Measured Secondary Axis Low Limit,Measured Secondary Axis High Limit,Following Error Primary Axis Limit,Following Error Secondary Axis Limit
124,-2814,2502,-938,2814,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-600,600,-400,400,-150,150,-450,450,-450,450,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,9000,9000
125,-2261,2261,0,0,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-600,600,-400,400,-150,150,-450,450,-450,450,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,9000,9000
126,-3440,3659,-2189,3659,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-600,600,-400,400,-150,150,-450,450,-450,450,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,9000,9000
127,-3127,3659,-1563,3659,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-600,600,-400,400,-150,150,-450,450,-450,450,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,9000,9000
128,-2189,3440,-1251,1876,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-600,600,-400,400,-150,150,-450,450,-450,450,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,9000,9000
129,-3127,3659,-1563,3659,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-600,600,-400,400,-150,150,-450,450,-450,450,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,9000,9000
130,-3127,2814,-938,3127,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-600,600,-400,400,-150,150,-450,450,-450,450,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,9000,9000
131,-2261,2261,0,0,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-600,600,-400,400,-150,150,-450,450,-450,450,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,9000,9000
132,-3127,3659,-1563,3659,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-600,600,-400,400,-150,150,-450,450,-450,450,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,9000,9000
133,-3127,3659,-1563,3659,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-600,600,-400,400,-150,150,-450,450,-450,450,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,9000,9000
134,-3127,3659,-1563,3659,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-600,600,-400,400,-150,150,-450,450,-450,450,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,9000,9000
135,-2189,3440,-1251,1876,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-600,600,-400,400,-150,150,-450,450,-450,450,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,9000,9000
136,-2261,2261,0,0,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-600,600,-400,400,-150,150,-450,450,-450,450,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,9000,9000
137,-3127,3659,-1563,3659,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-600,600,-400,400,-150,150,-450,450,-450,450,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,9000,9000
138,-2814,2502,-625,3127,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-600,600,-400,400,-150,150,-450,450,-450,450,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,9000,9000
139,-2261,2261,0,0,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-600,600,-400,400,-150,150,-450,450,-450,450,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,9000,9000
140,-2261,2261,0,0,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-600,600,-400,400,-150,150,-450,450,-450,450,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,9000,9000
141,-2261,2261,0,0,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-600,600,-400,400,-150,150,-450,450,-450,450,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,9000,9000
142,-2261,2261,0,0,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-600,600,-400,400,-150,150,-450,450,-450,450,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,9000,9000
143,-1330,1330,0,0,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-600,600,-400,400,-150,150,-450,450,-450,450,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,9000,9000
207,-2261,2261,0,0,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-600,600,-400,400,-150,150,-450,450,-450,450,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,9000,9000
208,-3127,3659,-1563,3659,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-600,600,-400,400,-150,150,-450,450,-450,450,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,9000,9000
209,-3127,3659,-1563,3659,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-600,600,-400,400,-150,150,-450,450,-450,450,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,9000,9000
210,-3127,3659,-1563,3659,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-600,600,-400,400,-150,150,-450,450,-450,450,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,9000,9000
211,-3127,3659,-1563,3659,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-600,600,-400,400,-150,150,-450,450,-450,450,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,9000,9000
212,-2189,3440,-1251,1876,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-600,600,-400,400,-150,150,-450,450,-450,450,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,9000,9000
214,-3127,3659,-1563,3659,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-600,600,-400,400,-150,150,-450,450,-450,450,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,9000,9000
215,-3127,3659,-1563,3659,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-600,600,-400,400,-150,150,-450,450,-450,450,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,9000,9000
216,-3127,3659,-1563,3659,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-600,600,-400,400,-150,150,-450,450,-450,450,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,9000,9000
217,-3127,3659,-1563,3659,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-600,600,-400,400,-150,150,-450,450,-450,450,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,9000,9000
218,-2814,2502,-938,3127,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-600,600,-400,400,-150,150,-450,450,-450,450,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,9000,9000
219,-1330,1330,0,0,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-600,600,-400,400,-150,150,-450,450,-450,450,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,9000,9000
220,-3127,3659,-1563,3659,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-600,600,-400,400,-150,150,-450,450,-450,450,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,9000,9000
221,-3127,3659,-1563,3659,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-600,600,-400,400,-150,150,-450,450,-450,450,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,9000,9000
222,-3127,3659,-1563,3659,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-600,600,-400,400,-150,150,-450,450,-450,450,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,-9000,9000,9000,9000
