ID,LowFault,LowWarning,HighWarning,HighFault
101,-400,0,0,400
102,-400,0,0,400
103,-400,0,0,400
104,-400,0,0,400
105,-400,0,0,400
106,-400,0,0,400
107,-400,0,0,400
108,-400,0,0,400
109,-400,0,0,400
110,-400,0,0,400
111,-400,0,0,400
112,-400,0,0,400
113,-400,0,0,400
114,-400,0,0,400
115,-400,0,0,400
116,-400,0,0,400
117,-400,0,0,400
118,-400,0,0,400
119,-400,0,0,400
120,-400,0,0,400
121,-400,0,0,400
122,-400,0,0,400
123,-400,0,0,400
124,-400,0,0,400
125,-400,0,0,400
126,-400,0,0,400
127,-400,0,0,400
128,-400,0,0,400
129,-400,0,0,400
130,-400,0,0,400
131,-400,0,0,400
132,-400,0,0,400
133,-400,0,0,400
134,-400,0,0,400
135,-400,0,0,400
136,-400,0,0,400
137,-400,0,0,400
138,-400,0,0,400
139,-400,0,0,400
140,-400,0,0,400
141,-400,0,0,400
142,-400,0,0,400
143,-400,0,0,400
207,-400,0,0,400
208,-400,0,0,400
209,-400,0,0,400
210,-400,0,0,400
211,-400,0,0,400
212,-400,0,0,400
214,-400,0,0,400
215,-400,0,0,400
216,-400,0,0,400
217,-400,0,0,400
218,-400,0,0,400
219,-400,0,0,400
220,-400,0,0,400
221,-400,0,0,400
222,-400,0,0,400
223,-400,0,0,400
224,-400,0,0,400
225,-400,0,0,400
227,-400,0,0,400
228,-400,0,0,400
229,-400,0,0,400
230,-400,0,0,400
231,-400,0,0,400
232,-400,0,0,400
233,-400,0,0,400
234,-400,0,0,400
235,-400,0,0,400
236,-400,0,0,400
237,-400,0,0,400
238,-400,0,0,400
239,-400,0,0,400
240,-400,0,0,400
241,-400,0,0,400
242,-400,0,0,400
243,-400,0,0,400
301,-400,0,0,400
302,-400,0,0,400
303,-400,0,0,400
304,-400,0,0,400
305,-400,0,0,400
306,-400,0,0,400
307,-400,0,0,400
308,-400,0,0,400
309,-400,0,0,400
310,-400,0,0,400
311,-400,0,0,400
312,-400,0,0,400
313,-400,0,0,400
314,-400,0,0,400
315,-400,0,0,400
316,-400,0,0,400
317,-400,0,0,400
318,-400,0,0,400
319,-400,0,0,400
320,-400,0,0,400
321,-400,0,0,400
322,-400,0,0,400
323,-400,0,0,400
324,-400,0,0,400
325,-400,0,0,400
326,-400,0,0,400
327,-400,0,0,400
328,-400,0,0,400
329,-400,0,0,400
330,-400,0,0,400
331,-400,0,0,400
332,-400,0,0,400
333,-400,0,0,400
334,-400,0,0,400
335,-400,0,0,400
336,-400,0,0,400
337,-400,0,0,400
338,-400,0,0,400
339,-400,0,0,400
340,-400,0,0,400
341,-400,0,0,400
342,-400,0,0,400
343,-400,0,0,400
407,-400,0,0,400
408,-400,0,0,400
409,-400,0,0,400
410,-400,0,0,400
411,-400,0,0,400
412,-400,0,0,400
414,-400,0,0,400
415,-400,0,0,400
416,-400,0,0,400
417,-400,0,0,400
418,-400,0,0,400
419,-400,0,0,400
420,-400,0,0,400
421,-400,0,0,400
422,-400,0,0,400
423,-400,0,0,400
424,-400,0,0,400
425,-400,0,0,400
427,-400,0,0,400
428,-400,0,0,400
429,-400,0,0,400
430,-400,0,0,400
431,-400,0,0,400
432,-400,0,0,400
433,-400,0,0,400
434,-400,0,0,400
435,-400,0,0,400
436,-400,0,0,400
437,-400,0,0,400
438,-400,0,0,400
439,-400,0,0,400
440,-400,0,0,400
441,-400,0,0,400
442,-400,0,0,400
443,-400,0,0,400
