-270,-265,-260,-255,-250,-245,-240,-235,-230,-225,-220,-215,-210,-205,-200,-195,-190,-185,-180,-175,-170,-165,-160,-155,-150,-145,-140,-135,-130,-125,-120,-115,-110,-105,-100,-95,-90,-85,-80,-75,-70,-65,-60,-55,-50,-45,-40,-35,-30,-25,-20,-15,-10,-5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90
3.45,3.4421,3.4184,3.3791,3.3246,3.2551,3.1713,3.0738,2.9634,2.8408,2.707,2.563,2.41,2.249,2.0814,1.9083,1.7312,1.5513,1.37,1.1887,1.0088,0.83166,0.6586,0.49095,0.33,0.17696,0.033002,-0.10078,-0.22337,-0.33384,-0.43133,-0.51512,-0.58456,-0.63913,-0.6784,-0.70208,-0.71,-0.70208,-0.6784,-0.63913,-0.58456,-0.51512,-0.43133,-0.33384,-0.22337,-0.10078,0.033002,0.17696,0.33,0.49095,0.6586,0.83166,1.0088,1.1887,1.37,1.5513,1.7312,1.9083,2.0814,2.249,2.41,2.563,2.707,2.8408,2.9634,3.0738,3.1713,3.2551,3.3246,3.3791,3.4184,3.4421,3.45
0.42,0.41224,0.38901,0.35049,0.29697,0.22887,0.14669,0.05107,-0.057269,-0.1775,-0.30871,-0.4499,-0.6,-0.75786,-0.92228,-1.092,-1.2658,-1.4422,-1.62,-1.7978,-1.9742,-2.148,-2.3177,-2.4821,-2.64,-2.7901,-2.9313,-3.0625,-3.1827,-3.2911,-3.3867,-3.4689,-3.537,-3.5905,-3.629,-3.6522,-3.66,-3.6522,-3.629,-3.5905,-3.537,-3.4689,-3.3867,-3.2911,-3.1827,-3.0625,-2.9313,-2.7901,-2.64,-2.4821,-2.3177,-2.148,-1.9742,-1.7978,-1.62,-1.4422,-1.2658,-1.092,-0.92228,-0.75786,-0.6,-0.4499,-0.30871,-0.1775,-0.057269,0.05107,0.14669,0.22887,0.29697,0.35049,0.38901,0.41224,0.42
4.61,4.6025,4.5801,4.5429,4.4912,4.4254,4.3461,4.2537,4.1491,4.033,3.9063,3.7699,3.625,3.4726,3.3138,3.1499,2.9821,2.8117,2.64,2.4683,2.2979,2.1301,1.9662,1.8074,1.655,1.5101,1.3737,1.247,1.1309,1.0263,0.93393,0.85457,0.78881,0.73713,0.69993,0.6775,0.67,0.6775,0.69993,0.73713,0.78881,0.85457,0.93393,1.0263,1.1309,1.247,1.3737,1.5101,1.655,1.8074,1.9662,2.1301,2.2979,2.4683,2.64,2.8117,2.9821,3.1499,3.3138,3.4726,3.625,3.7699,3.9063,4.033,4.1491,4.2537,4.3461,4.4254,4.4912,4.5429,4.5801,4.6025,4.61
1.44,1.4315,1.406,1.3637,1.3049,1.2301,1.1399,1.0349,0.91594,0.78392,0.63984,0.48481,0.32,0.14666,-0.033875,-0.22025,-0.41103,-0.60477,-0.8,-0.99523,-1.189,-1.3798,-1.5661,-1.7467,-1.92,-2.0848,-2.2398,-2.3839,-2.5159,-2.6349,-2.7399,-2.8301,-2.9049,-2.9637,-3.006,-3.0315,-3.04,-3.0315,-3.006,-2.9637,-2.9049,-2.8301,-2.7399,-2.6349,-2.5159,-2.3839,-2.2398,-2.0848,-1.92,-1.7467,-1.5661,-1.3798,-1.189,-0.99523,-0.8,-0.60477,-0.41103,-0.22025,-0.033875,0.14666,0.32,0.48481,0.63984,0.78392,0.91594,1.0349,1.1399,1.2301,1.3049,1.3637,1.406,1.4315,1.44
3.43,3.423,3.4022,3.3676,3.3196,3.2585,3.1848,3.099,3.0019,2.894,2.7763,2.6496,2.515,2.3734,2.2259,2.0736,1.9178,1.7595,1.6,1.4405,1.2822,1.1264,0.9741,0.82661,0.685,0.55036,0.4237,0.30599,0.19814,0.10095,0.015174,-0.058543,-0.11964,-0.16764,-0.2022,-0.22304,-0.23,-0.22304,-0.2022,-0.16764,-0.11964,-0.058543,0.015174,0.10095,0.19814,0.30599,0.4237,0.55036,0.685,0.82661,0.9741,1.1264,1.2822,1.4405,1.6,1.7595,1.9178,2.0736,2.2259,2.3734,2.515,2.6496,2.7763,2.894,3.0019,3.099,3.1848,3.2585,3.3196,3.3676,3.4022,3.423,3.43
2.19,2.1822,2.1589,2.1201,2.0664,1.9979,1.9154,1.8193,1.7104,1.5896,1.4577,1.3158,1.165,1.0064,0.84114,0.67058,0.49598,0.31867,0.14,-0.038669,-0.21598,-0.39058,-0.56114,-0.72637,-0.885,-1.0358,-1.1777,-1.3096,-1.4304,-1.5393,-1.6354,-1.7179,-1.7864,-1.8401,-1.8789,-1.9022,-1.91,-1.9022,-1.8789,-1.8401,-1.7864,-1.7179,-1.6354,-1.5393,-1.4304,-1.3096,-1.1777,-1.0358,-0.885,-0.72637,-0.56114,-0.39058,-0.21598,-0.038669,0.14,0.31867,0.49598,0.67058,0.84114,1.0064,1.165,1.3158,1.4577,1.5896,1.7104,1.8193,1.9154,1.9979,2.0664,2.1201,2.1589,2.1822,2.19
4.26,4.2528,4.2311,4.1953,4.1454,4.082,4.0054,3.9164,3.8155,3.7035,3.5813,3.4498,3.31,3.163,3.0098,2.8518,2.6899,2.5256,2.36,2.1944,2.0301,1.8682,1.7102,1.557,1.41,1.2702,1.1387,1.0165,0.90452,0.80361,0.71455,0.63802,0.57458,0.52474,0.48887,0.46723,0.46,0.46723,0.48887,0.52474,0.57458,0.63802,0.71455,0.80361,0.90452,1.0165,1.1387,1.2702,1.41,1.557,1.7102,1.8682,2.0301,2.1944,2.36,2.5256,2.6899,2.8518,3.0098,3.163,3.31,3.4498,3.5813,3.7035,3.8155,3.9164,4.0054,4.082,4.1454,4.1953,4.2311,4.2528,4.26
-3.86,-3.8676,-3.8905,-3.9285,-3.9812,-4.0483,-4.1293,-4.2235,-4.3303,-4.4487,-4.578,-4.7171,-4.865,-5.0205,-5.1825,-5.3498,-5.521,-5.6948,-5.87,-6.0452,-6.219,-6.3902,-6.5575,-6.7195,-6.875,-7.0229,-7.162,-7.2913,-7.4097,-7.5165,-7.6107,-7.6917,-7.7588,-7.8115,-7.8495,-7.8724,-7.88,-7.8724,-7.8495,-7.8115,-7.7588,-7.6917,-7.6107,-7.5165,-7.4097,-7.2913,-7.162,-7.0229,-6.875,-6.7195,-6.5575,-6.3902,-6.219,-6.0452,-5.87,-5.6948,-5.521,-5.3498,-5.1825,-5.0205,-4.865,-4.7171,-4.578,-4.4487,-4.3303,-4.2235,-4.1293,-4.0483,-3.9812,-3.9285,-3.8905,-3.8676,-3.86
-3.02,-3.0273,-3.049,-3.0851,-3.1352,-3.199,-3.2759,-3.3654,-3.4669,-3.5794,-3.7023,-3.8345,-3.975,-4.1228,-4.2767,-4.4357,-4.5983,-4.7635,-4.93,-5.0965,-5.2617,-5.4243,-5.5833,-5.7372,-5.885,-6.0255,-6.1577,-6.2806,-6.3931,-6.4946,-6.5841,-6.661,-6.7248,-6.7749,-6.811,-6.8327,-6.84,-6.8327,-6.811,-6.7749,-6.7248,-6.661,-6.5841,-6.4946,-6.3931,-6.2806,-6.1577,-6.0255,-5.885,-5.7372,-5.5833,-5.4243,-5.2617,-5.0965,-4.93,-4.7635,-4.5983,-4.4357,-4.2767,-4.1228,-3.975,-3.8345,-3.7023,-3.5794,-3.4669,-3.3654,-3.2759,-3.199,-3.1352,-3.0851,-3.049,-3.0273,-3.02
