# Calculated from slews 2024-11-29T21:12:00.000 - 2024-11-29T21:55:00.000
ID,X,Y,Z
0,0.0,0.0,-60325.55085636567
1,0.0,30013.841673668765,-70762.37306891124
2,0.0,51695.36806419294,-98269.28127731278
3,0.0,44878.07946501934,-114887.14359189167
4,0.0,37713.64618048581,-127025.97129811623
5,0.0,0.0,-97706.03777193054
6,0.0,0.0,174760.4335437228
7,0.0,33374.98024217793,-81096.44277527161
8,0.0,55207.98704470799,40603.27569488667
9,0.0,48341.19237293451,17518.637333668976
10,0.0,41363.23336484333,-41381.08070645715
11,85750.71286900426,0.0,-51207.3679080191
12,0.0,44039.231192786814,-215854.6025543577
13,0.0,36679.483824520474,-187114.2605032331
14,0.0,58571.70196741322,-18889.63801981917
15,0.0,51900.270860697885,2161.941939083583
16,0.0,44926.586613775595,-43393.52433483787
17,0.0,16873.992891134145,-23628.315099175652
18,0.0,0.0,-39521.42714898993
19,0.0,68303.2862632471,176005.5607346717
20,0.0,61831.01405684233,170343.50564831164
21,0.0,55228.23046776597,26141.927986369228
22,0.0,48494.95341848697,-73757.8632899151
23,0.0,19996.84333984688,4144.207110520899
24,0.0,0.0,13141.944690194317
25,0.0,72503.89131339885,144422.70679082064
26,0.0,65039.45323227803,210280.68238561504
27,67102.21435799179,0.0,106830.79297034319
28,0.0,51775.324403086604,-5741.912693108801
29,0.0,23245.366105963923,39260.36229713599
30,0.0,0.0,90270.06180759185
31,0.0,68241.19836740877,-3037.6106544168642
32,0.0,61728.44379551223,64284.08608219144
33,0.0,55042.34763264328,95859.25078665534
34,60942.406869162136,0.0,173430.82057008322
35,0.0,0.0,167024.9014368211
36,0.0,70348.48583677385,117369.74832511488
37,0.0,63844.938930741206,190163.01385820034
38,0.0,0.0,137005.72542448525
39,0.0,0.0,219350.45516236612
40,0.0,0.0,250681.61810991686
41,0.0,0.0,338774.9202790412
42,0.0,0.0,-100823.84873461553
43,0.0,0.0,183060.82788346536
44,0.0,54726.27593308715,-88977.37349010288
45,0.0,89830.1504112569,51663.34018432007
46,0.0,96696.30666234111,62396.248407682
47,0.0,103674.79438312641,10205.69406852272
48,85755.54297304776,0.0,-24390.301700706867
49,0.0,51418.810663569755,-180898.59289914387
50,0.0,86465.18539669082,-16920.80612247336
51,0.0,93136.39695322575,29907.964028747432
52,0.0,100109.70713580443,7837.430158627346
53,0.0,85032.58123719193,23527.325134887633
54,0.0,0.0,-94539.17161759871
55,0.0,76728.85164791087,195281.30172891147
56,0.0,83202.10062859417,189122.2344389603
57,0.0,89806.06261967558,40491.86456696198
58,0.0,96540.11929614158,-47020.88487013455
59,0.0,81907.90269714958,47813.61437354293
60,0.0,0.0,75976.56417387223
61,0.0,79988.48186107827,236945.57625680557
62,67104.73246418052,0.0,131824.3141452198
63,0.0,93257.54832909133,10128.954382787631
64,0.0,78657.04553010126,49599.87133151071
65,0.0,0.0,124544.44070693641
66,0.0,76781.27933566038,7857.939047313297
67,0.0,83293.4111019377,91561.53000570556
68,0.0,89985.90558444719,128331.94649771093
69,60943.91683675323,0.0,188557.78050759833
70,0.0,0.0,151741.50619302946
71,0.0,74670.99433419172,117231.54448925125
72,0.0,83622.26143220504,245488.2846161647
73,0.0,0.0,176243.0057179932
74,0.0,0.0,254428.41435453732
75,0.0,0.0,243432.3648654379
76,0.0,0.0,343168.76280247356
77,0.0,0.0,-96430.57782423824
78,0.0,0.0,-50964.148429795656
79,0.0,58089.06784889586,-69411.16300801309
80,0.0,93343.06293921612,-71758.26439695345
81,0.0,100160.58901103186,-65111.355922009585
82,0.0,107324.27403269782,-83831.39735981861
83,0.0,0.0,-75281.87796615114
84,0.0,0.0,-296232.3475377219
85,0.0,54728.207078578664,-34169.096416819804
86,0.0,89832.09947921673,-200663.2911433689
87,0.0,96697.61052159543,-194500.67304324757
88,0.0,103675.18419671891,-150664.3588281192
89,98557.17365810378,0.0,-172003.5705218522
90,0.0,44045.73816736907,18027.141677882835
91,0.0,51422.90146597331,55536.852207366406
92,0.0,86468.97151720992,-132311.61331104304
93,0.0,93139.76189583735,-177752.34983018998
94,0.0,100112.40446663335,-142630.32743987034
95,0.0,85033.67002687768,-183600.87547696198
96,0.0,0.0,-51186.9705869241
97,0.0,76735.63081991012,-345638.51323396823
98,0.0,83209.24273049305,-335531.58779923595
99,0.0,89812.24586975081,-202636.28637925972
100,0.0,96545.16446975138,-115440.78255301224
101,0.0,81911.71570135762,-213522.2934840912
102,0.0,0.0,-164407.60124540675
103,0.0,72515.06941975911,-391236.85721916467
104,0.0,79999.82678077137,-387449.5033112495
105,117206.87297420393,0.0,-288896.3138036602
106,0.0,93265.62239910854,-192406.05790288837
107,0.0,78663.84262456401,-255921.29356307146
108,0.0,0.0,-249663.9257019831
109,0.0,76796.03400412676,-185216.23376177737
110,0.0,83312.12663494945,-254793.5156858007
111,0.0,89999.37879673921,-305467.32747067383
112,123313.38353578275,0.0,-405608.2890487816
113,0.0,0.0,-333330.4280650666
114,0.0,74686.39869197804,-333556.8029032248
115,0.0,81194.86531438078,-402677.6273501287
116,0.0,0.0,-279940.4826836208
117,0.0,0.0,-379644.7710285398
118,0.0,0.0,-418648.14862567873
