Type,N1,N2,N3,N4,N5,N6,N7,N8
X,-0.00021801,0.500564821,-0.005582441,-0.000565914,-0.000188038,0.499435179,0.005988489,0.000565914
Y,-0.00597815,2.702e-06,-0.000100473,0.500002697,0.006429854,-2.702e-06,-0.000351231,0.499997303
Z,0.23267445,7.389e-06,0.233176748,7.376e-06,0.267382563,-7.389e-06,0.26676624,-7.376e-06
Rx,6.636430339298314,-0.002999777832186938,0.11153637617518855,-0.0029945066204717344,-7.13787360508897,0.002999777832186938,0.38990688961546777,0.0029945066204717344
Ry,-0.25966493111952516,-6.0733526283867265e-05,-6.663539035234015,-6.06189347248411e-05,-0.22506194722351233,6.0733526283867265e-05,7.148265856281274,6.06189347248411e-05
Rz,0.00290185934499908,-3.4614746719546923,4.8758708365633054e-05,3.4675472224421657,-0.003121072997416133,3.4614746719546923,0.000170512239830933,-3.4675472224421657
