ID,ZForce
101,11.0870775312
102,12.459803462
103,14.6714930675
104,17.460344655
105,20.3239809418
106,14.6393421577
107,11.3641008404
108,12.140744501
109,13.7735373017
110,16.2001122365
111,18.9496283043
112,20.9835739345
113,17.3761499883
114,12.936451159
115,13.8967092594
116,15.6669772773
117,17.9317418225
118,19.9707702585
119,7.1159900148
120,14.4583611076
121,15.0006871503
122,16.1421716848
123,17.757224395
124,19.6649589953
125,14.0366925237
126,22.1006815128
127,16.620450627
128,17.415204404
129,18.5188149358
130,19.724634796
131,13.7489894018
132,18.3619989095
133,18.9889879713
134,19.8368644338
135,20.5014683113
136,13.8186675257
137,20.1374744488
138,20.6345252293
139,13.5314128864
140,14.3662207073
141,14.336165001
142,14.4812164214
143,7.3025206343
207,11.4090918538
208,12.1631523721
209,13.7372318981
210,16.148785688
211,18.9196286923
212,20.9806946165
214,12.9656066462
215,13.9079226298
216,15.663645857
217,17.9387155635
218,20.0002286635
219,7.1450479735
220,14.4392880847
221,14.9704020815
222,16.130172073
223,17.7851394928
224,19.7375965355
225,14.0897508343
227,16.501737966
228,17.2903022743
229,18.4622291568
230,19.7645186043
231,13.8213827573
232,18.2140369543
233,18.7160857428
234,19.5972099295
235,20.3843541373
236,13.8247745818
237,20.0311662575
238,23.7496045743
239,13.2896016106
240,14.1324668078
241,14.2017429912
242,14.158178757
243,7.1386673669
301,11.1146096585
302,12.4129389478
303,14.5905156634
304,17.405651006
305,20.316505686
306,14.6630525024
307,11.3874084467
308,12.1086019397
309,13.6866269092
310,16.1252307788
311,18.925262322
312,21.0178555453
313,17.352105261
314,12.904369583
315,13.8246182996
316,15.5996227445
317,17.919211904
318,20.0274131938
319,7.1430575259
320,14.4323203897
321,14.9411075048
322,16.0804110305
323,17.7464869408
324,19.7338598148
325,14.1156315
326,22.1887411073
327,16.6097927343
328,17.3667700355
329,18.492418498
330,19.7746207908
331,13.8320166223
332,18.4755896183
333,19.011416246
334,19.8168185348
335,20.4262646398
336,13.8679883264
337,20.4217307848
338,20.7709016495
339,13.5458869493
340,14.3748105778
341,14.5868246691
342,14.5947650381
343,7.1929164671
407,11.3797723938
408,12.1444767082
409,13.7605811348
410,16.1762768708
411,18.915945101
412,20.9464094068
414,12.9239790442
415,13.871062986
416,15.6336460533
417,17.891903931
418,19.922224026
419,7.0978809147
420,14.4374915081
421,14.9591397485
422,16.0955651805
423,17.716491149
424,19.6235917205
425,14.0012302596
427,16.6063434763
428,17.3615268678
429,18.4634504125
430,19.6851787083
431,13.7219846284
432,18.4640217538
433,18.9872224553
434,19.779069671
435,20.3552070163
436,13.7889384552
437,20.4122960948
438,20.7341154593
439,13.5130620353
440,14.3255634651
441,14.5740321047
442,14.5580082401
443,7.2987214149
