direction,HP1,HP2,HP3,HP4,HP5,HP6
x,-0.367990078,0.367991451,-0.034759631,-0.402749288,0.402753386,0.034759629
Y,0.252595889,0.252594567,-0.444989634,0.192394103,0.192393526,-0.444988711
Z,0.256365728,0.256364764,0.256365225,0.256367768,0.256368103,0.256365302
Rx,-6.831599416772245,-6.8315637787973875,-2.5201081085268435,9.351773644628645,9.351760294712019,-2.520098826610562
Ry,6.854203862297305,-6.854183464999799,-9.343444958231286,-2.4892549042168435,2.4892221310309623,9.343463120993393
Rz,-4.139904887140157,4.139904142295023,-4.139911762633699,4.13989629277323,-4.139920414296405,4.139904772548599
